name,type,episodes,status,aired,premiered,broadcast,producers,licensors,studios,source,genres,duration,rating,score,ranked,popularity,favorites
ReLIFE: Kanketsu-hen,Special,4,Finished Airing,"Mar 21, 2018",,,"['comico', 'TMS Music']",['Funimation'],TMS Entertainment,Web manga,"['Drama', 'Romance']",23 min. per ep.,PG-13 - Teens 13 or older,8.2,#380,#580,"1,870"
One Piece Movie 14: Stampede,Movie,1,Finished Airing,"Aug 9, 2019",,,['add some'],['Funimation'],Toei Animation,Manga,"['Action', 'Adventure', 'Fantasy']",1 hr. 41 min.,PG-13 - Teens 13 or older,8.2,#379,#1244,668
Liz to Aoi Tori,Movie,1,Finished Airing,"Apr 21, 2018",,,"['Lantis', 'Shochiku', 'Pony Canyon', 'Rakuonsha', 'Bandai Namco Arts']","['Eleven Arts', 'Ponycan USA']",Kyoto Animation,,"['Award Winning', 'Drama']",1 hr. 30 min.,PG-13 - Teens 13 or older,8.2,#377,#1618,"2,753"
InuYasha: Kanketsu-hen,TV,26,Finished Airing,"Oct 4, 2009 to Mar 30, 2010",Fall 2009,Sundays at 02:20 (JST),"['Yomiuri Telecasting', 'Shogakukan']",['VIZ Media'],Sunrise,Manga,"['Action', 'Adventure', 'Fantasy', 'Romance']",24 min. per ep.,PG-13 - Teens 13 or older,8.2,#376,#858,"2,220"
Horimiya,TV,13,Finished Airing,"Jan 10, 2021 to Apr 4, 2021",Winter 2021,Sundays at 00:30 (JST),"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'Kanetsu Investment', 'My Theater D.D.', 'Global Solutions', 'Mirai-Kojo']",['Funimation'],CloverWorks,Manga,[],23 min. per ep.,PG-13 - Teens 13 or older,8.2,#375,#93,"35,858"
BanG Dream! It's MyGO!!!!!,TV,13,Finished Airing,"Jun 29, 2023 to Sep 14, 2023",Summer 2023,Thursdays at 23:00 (JST),"['Ultra Super Pictures', 'Bushiroad', 'Tokyo MX', 'Good Smile Company', 'Bushiroad Music', 'HoriPro International', 'Ace Crew Entertainment']",['add some'],SANZIGEN,,[],23 min. per ep.,PG-13 - Teens 13 or older,8.2,#373,#4936,491
Vanitas no Karte Part 2,TV,12,Finished Airing,"Jan 15, 2022 to Apr 2, 2022",Winter 2022,Saturdays at 00:00 (JST),"['Aniplex', 'Square Enix', 'Hakuhodo DY Music & Pictures', 'Contents Seed']",['Funimation'],Bones,Manga,"['Action', 'Fantasy', 'Mystery']",23 min. per ep.,R - 17+ (violence & profanity),8.2,#371,#869,"2,685"
xxxHOLiC◆Kei,TV,13,Finished Airing,"Apr 4, 2008 to Jun 27, 2008",Spring 2008,Unknown,"['TBS', 'BMG Japan', 'Kids Station', 'Kodansha', 'Movic']",['add some'],Production I.G,Manga,"['Comedy', 'Drama', 'Mystery', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,8.21,#370,#1591,613
SKET Dance,TV,77,Finished Airing,"Apr 7, 2011 to Sep 27, 2012",Spring 2011,Thursdays at 18:00 (JST),"['TV Tokyo', 'Avex Entertainment', 'Dentsu']",['add some'],Tatsunoko Production,Manga,[],24 min. per ep.,PG-13 - Teens 13 or older,8.21,#369,#1084,"3,213"
Shoujo Kakumei Utena,TV,39,Finished Airing,"Apr 2, 1997 to Dec 24, 1997",Spring 1997,Wednesdays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising', 'SoftX', 'Shogakukan', 'Audio Tanaka']","['Nozomi Entertainment', 'Central Park Media']",J.C.Staff,,"['Award Winning', 'Drama', 'Fantasy', 'Mystery', 'Suspense']",23 min. per ep.,PG-13 - Teens 13 or older,8.21,#367,#1097,"8,525"
Quanzhi Gaoshou Specials,ONA,3,Finished Airing,"Apr 27, 2018 to May 11, 2018",,,"['Tencent Animation & Comics', 'Tencent Penguin Pictures', 'China Literature Limited', 'Colored Pencil Animation Japan']",['add some'],Colored Pencil Animation,,[],27 min. per ep.,PG-13 - Teens 13 or older,8.21,#366,#2011,349
Major S1,TV,26,Finished Airing,"Nov 13, 2004 to May 21, 2005",Fall 2004,Saturdays at 18:00 (JST),"['Shogakukan-Shueisha Productions', 'NHK']",['add some'],Studio Hibari,Manga,[],25 min. per ep.,PG-13 - Teens 13 or older,8.21,#365,#2063,"1,393"
Kuroko no Basket 2nd Season,TV,25,Finished Airing,"Oct 6, 2013 to Mar 30, 2014",Fall 2013,Sundays at 01:58 (JST),"['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Banpresto', 'Shueisha', 'BS11']",['add some'],Production I.G,Manga,[],24 min. per ep.,PG-13 - Teens 13 or older,8.21,#363,#207,"4,340"
Kimetsu no Yaiba: Hashira Geiko-hen,TV,Unknown,Currently Airing,"May 12, 2024 to ?",Spring 2024,Sundays at 23:15 (JST),"['Aniplex', 'Shueisha']",['add some'],ufotable,Manga,"['Action', 'Fantasy']",28 min.,R - 17+ (violence & profanity),8.21,#362,#696,"2,823"
Kaguya-hime no Monogatari,Movie,1,Finished Airing,"Nov 23, 2013",,,['add some'],['GKIDS'],Studio Ghibli,,"['Award Winning', 'Fantasy']",2 hr. 17 min.,R+ - Mild Nudity,8.21,#361,#1041,"2,654"
Great Pretender,TV,23,Finished Airing,"Jul 9, 2020 to Dec 17, 2020",Summer 2020,Thursdays at 00:55 (JST),"['Production I.G', 'Fuji TV', 'BS Fuji', 'TOHO animation', 'Hakuhodo DY Media Partners']",['add some'],Wit Studio,,"['Action', 'Adventure', 'Mystery']",23 min. per ep.,R - 17+ (violence & profanity),8.21,#360,#309,"9,998"
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Movie,1,Finished Airing,"Jul 15, 2000",,,"['Bandai Visual', 'Shochiku', 'Kodansha', 'Shelty', 'Amber Film Works']","['Nelvana', 'Discotek Media', 'Geneon Entertainment USA']",Madhouse,Manga,"['Award Winning', 'Comedy', 'Drama', 'Fantasy', 'Romance']",1 hr. 22 min.,PG - Children,8.21,#356,#1874,461
Bungou Stray Dogs 3rd Season,TV,12,Finished Airing,"Apr 12, 2019 to Jun 28, 2019",Spring 2019,Fridays at 22:30 (JST),"['WOWOW', 'Lantis', 'Movic', 'Bandai Namco Live Creative', 'Sony Music Entertainment', 'Glovision', 'Kadokawa Media House', 'Kadokawa', 'Bandai Namco Arts']",['add some'],Bones,Manga,"['Action', 'Mystery', 'Supernatural']",23 min. per ep.,R - 17+ (violence & profanity),8.21,#355,#338,"5,024"
No Game No Life: Zero,Movie,1,Finished Airing,"Jul 15, 2017",,,"['Frontier Works', 'Movic', 'AT-X', 'Kadokawa']",['Sentai Filmworks'],Madhouse,Light novel,"['Drama', 'Fantasy', 'Romance']",1 hr. 46 min.,PG-13 - Teens 13 or older,8.18,#407,#200,"7,742"
Spy x Family Movie: Code: White,Movie,1,Finished Airing,"Dec 22, 2023",,,"['TOHO animation', 'Shueisha']",['add some'],Wit Studio,Manga,"['Action', 'Comedy']",1 hr. 50 min.,PG-13 - Teens 13 or older,8.18,#409,#1793,455
Yojouhan Time Machine Blues,ONA,6,Finished Airing,"Sep 14, 2022 to Oct 12, 2022",,,"['Fuji TV', 'Kadokawa']",['add some'],Science SARU,,"['Comedy', 'Mystery', 'Romance', 'Suspense']",20 min. per ep.,PG-13 - Teens 13 or older,8.18,#411,#3428,282
Black Lagoon: The Second Barrage,TV,12,Finished Airing,"Oct 3, 2006 to Dec 19, 2006",Fall 2006,Tuesdays at 01:59 (JST),"['Geneon Universal Entertainment', 'Shogakukan-Shueisha Productions']","['Funimation', 'Geneon Entertainment USA']",Madhouse,Manga,[],23 min. per ep.,R - 17+ (violence & profanity),8.17,#415,#428,"3,152"
Dragon Ball Super: Broly,Movie,1,Finished Airing,"Dec 14, 2018",,,"['Fuji TV', 'Bandai', 'Bandai Namco Entertainment', 'Shueisha']",['Funimation'],Toei Animation,Manga,"['Action', 'Adventure', 'Fantasy']",1 hr. 40 min.,PG-13 - Teens 13 or older,8.17,#419,#566,"3,141"
K-On!!,TV,26,Finished Airing,"Apr 7, 2010 to Sep 29, 2010",Spring 2010,Wednesdays at 01:25 (JST),"['Pony Canyon', 'TBS', 'Movic', 'Rakuonsha', 'Animation Do']",['Sentai Filmworks'],Kyoto Animation,4-koma manga,"['Award Winning', 'Comedy']",24 min. per ep.,PG-13 - Teens 13 or older,8.17,#424,#288,"14,594"
Meitantei Conan Movie 20: Junkoku no Nightmare,Movie,1,Finished Airing,"Apr 16, 2016",,,['add some'],['Discotek Media'],TMS Entertainment,Manga,"['Action', 'Mystery']",1 hr. 52 min.,G - All Ages,8.17,#427,#3444,98
Toaru Kagaku no Railgun T,TV,25,Finished Airing,"Jan 10, 2020 to Sep 25, 2020",Winter 2020,Fridays at 22:00 (JST),"['Square Enix', 'Movic', 'AT-X', 'Warner Bros. Japan', 'NBCUniversal Entertainment Japan', 'Kadokawa']",['Funimation'],J.C.Staff,Manga,"['Action', 'Fantasy', 'Sci-Fi']",24 min. per ep.,R - 17+ (violence & profanity),8.16,#432,#1046,"3,285"
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,Movie,4,Finished Airing,"Oct 25, 2019",,,['Shochiku'],['add some'],Production I.G,,"['Drama', 'Sci-Fi']",25 min. per ep.,R - 17+ (violence & profanity),8.16,#436,#4380,51
Kaiba,TV,12,Finished Airing,"Apr 11, 2008 to Jul 25, 2008",Spring 2008,Unknown,"['VAP', 'WOWOW']",['Discotek Media'],Madhouse,,"['Adventure', 'Avant Garde', 'Award Winning', 'Mystery', 'Romance', 'Sci-Fi']",24 min. per ep.,R+ - Mild Nudity,8.14,#443,#1518,"3,730"
Ouran Koukou Host Club,TV,26,Finished Airing,"Apr 5, 2006 to Sep 27, 2006",Spring 2006,Wednesdays at 00:50 (JST),"['VAP', 'Hakusensha', 'Nippon Television Network']",['Funimation'],Bones,Manga,"['Comedy', 'Romance']",23 min. per ep.,PG-13 - Teens 13 or older,8.16,#430,#130,"34,571"
Lupin III: Cagliostro no Shiro,Movie,1,Finished Airing,"Dec 15, 1979",,,['Streamline Pictures'],"['Discotek Media', 'Manga Entertainment']",Tokyo Movie Shinsha,Manga,"['Action', 'Adventure', 'Award Winning', 'Comedy', 'Mystery']",1 hr. 39 min.,PG-13 - Teens 13 or older,8.15,#439,#1857,"1,388"
Given: Uragawa no Sonzai,OVA,1,Finished Airing,"Dec 1, 2021",,,['Blue Lynx'],['add some'],Lerche,Manga,"['Boys Love', 'Drama']",22 min.,PG-13 - Teens 13 or older,8.14,#450,#2264,748
Eiga Daisuki Pompo-san,Movie,1,Finished Airing,"Jun 4, 2021",,,"['Shochiku', 'Movic', 'Studio Mausu', 'Avex Pictures', 'Kadokawa', 'Happinet Phantom Studios', 'Movie Walker']",['GKIDS'],CLAP,Web manga,"['Comedy', 'Drama']",1 hr. 34 min.,PG-13 - Teens 13 or older,8.14,#449,#3304,409
Death Parade,TV,12,Finished Airing,"Jan 10, 2015 to Mar 28, 2015",Winter 2015,Saturdays at 01:58 (JST),"['VAP', 'DAX Production', 'Nippon Television Network']",['Funimation'],Madhouse,,"['Drama', 'Supernatural', 'Suspense']",23 min. per ep.,R - 17+ (violence & profanity),8.14,#448,#49,"28,506"
Black Clover,TV,170,Finished Airing,"Oct 3, 2017 to Mar 30, 2021",Fall 2017,Tuesdays at 18:25 (JST),"['TV Tokyo', 'Avex Pictures', 'Shueisha']","['Funimation', 'Crunchyroll']",Pierrot,Manga,"['Action', 'Comedy', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,8.14,#447,#57,"46,693"
Paripi Koumei,TV,12,Finished Airing,"Apr 5, 2022 to Jun 21, 2022",Spring 2022,Tuesdays at 23:00 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'Avex Pictures', 'DMM pictures', 'Bit grooove promotion']",['Sentai Filmworks'],P.A. Works,Web manga,"['Comedy', 'Supernatural']",23 min. per ep.,PG-13 - Teens 13 or older,8.14,#446,#828,"2,599"
Major: Message,OVA,1,Finished Airing,"Dec 17, 2010",,,['add some'],['add some'],SynergySP,Manga,[],24 min.,PG-13 - Teens 13 or older,8.14,#445,#4029,60
Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,Movie,1,Finished Airing,"Apr 25, 2015",,,['Shochiku'],['Sentai Filmworks'],Kyoto Animation,Light novel,"['Action', 'Fantasy', 'Romance']",1 hr. 30 min.,PG-13 - Teens 13 or older,8.14,#444,#929,"1,034"
Noragami Aragoto,TV,13,Finished Airing,"Oct 3, 2015 to Dec 26, 2015",Fall 2015,Saturdays at 01:05 (JST),"['Dentsu', 'Shochiku', 'Kodansha', 'Ai Addiction', 'Avex Pictures', 'A-Sketch']",['Funimation'],Bones,Manga,"['Action', 'Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,8.15,#442,#82,"11,545"
Non Non Biyori Nonstop: Bukatsu wo Ganbatta,OVA,1,Finished Airing,"Mar 23, 2022",,,['add some'],['Sentai Filmworks'],SILVER LINK.,Manga,[],22 min.,PG-13 - Teens 13 or older,8.15,#441,#4723,26
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,Movie,1,Finished Airing,"Jan 16, 2021",,,"['Aniplex', 'Ai Addiction']",['add some'],Shuka,Manga,"['Slice of Life', 'Supernatural']",51 min.,PG-13 - Teens 13 or older,8.15,#440,#3738,106
Dr. Stone: New World,TV,11,Finished Airing,"Apr 6, 2023 to Jun 15, 2023",Spring 2023,Thursdays at 22:30 (JST),"['TOHO animation', 'Shueisha']",['add some'],TMS Entertainment,Manga,"['Adventure', 'Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,8.15,#438,#492,"3,109"
Haikyuu!! Movie 3: Sainou to Sense,Movie,1,Finished Airing,"Sep 15, 2017",,,['add some'],['add some'],Production I.G,Manga,[],1 hr. 29 min.,PG-13 - Teens 13 or older,8.16,#433,#2225,101
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Movie,1,Finished Airing,"Oct 14, 2017",,,"['Aniplex', 'Notes', 'Kadokawa']",['Aniplex of America'],ufotable,,"['Action', 'Fantasy', 'Supernatural']",2 hr.,R - 17+ (violence & profanity),8.16,#431,#496,"2,557"
Dr. Stone: Stone Wars,TV,11,Finished Airing,"Jan 14, 2021 to Mar 25, 2021",Winter 2021,Thursdays at 22:30 (JST),"['TOHO animation', 'Shueisha', 'Toho Music', '8PAN']",['Funimation'],TMS Entertainment,Manga,"['Adventure', 'Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,8.16,#434,#147,"7,339"
Akira,Movie,1,Finished Airing,"Jul 16, 1988",,,"['Mainichi Broadcasting System', 'Kodansha', 'TOHO', 'Streamline Pictures']","['Funimation', 'Bandai Entertainment', 'Geneon Entertainment USA']",Tokyo Movie Shinsha,Manga,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Supernatural']",2 hr. 4 min.,R+ - Mild Nudity,8.16,#433,#209,"13,867"
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,Movie,1,Finished Airing,"Sep 6, 2008",,,['Aniplex'],['Aniplex of America'],Gainax,,"['Action', 'Sci-Fi']",1 hr. 52 min.,PG-13 - Teens 13 or older,8.16,#436,#1421,416
Made in Abyss Movie 1: Tabidachi no Yoake,Movie,1,Finished Airing,"Jan 4, 2019",,,"['AT-X', 'Takeshobo', 'Sony Music Communications', 'Kadokawa Media House', 'Cygames', 'Kanetsu Investment', 'Kadokawa', 'Global Solutions', 'IRMA LA DOUCE']",['Sentai Filmworks'],Kinema Citrus,Web manga,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",1 hr. 59 min.,R - 17+ (violence & profanity),8.17,#415,#1726,239
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",OVA,1,Finished Airing,"Dec 20, 2016",,,['add some'],['add some'],TMS Entertainment,Manga,"['Comedy', 'Fantasy', 'Romance']",12 min.,PG-13 - Teens 13 or older,8.16,#428,#2702,189
Lycoris Recoil,TV,13,Finished Airing,"Jul 2, 2022 to Sep 24, 2022",Summer 2022,Saturdays at 23:30 (JST),"['Aniplex', 'BS11', 'ABC Animation']",['Aniplex of America'],A-1 Pictures,,[],24 min. per ep.,PG-13 - Teens 13 or older,8.17,#425,#454,"8,516"
Meitantei Conan,TV,Unknown,Currently Airing,"Jan 8, 1996 to ?",Winter 1996,Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'TMS-Kyokuchi', 'Shogakukan']","['Funimation', 'Crunchyroll']",TMS Entertainment,Manga,"['Adventure', 'Comedy', 'Mystery']",24 min.,PG-13 - Teens 13 or older,8.17,#416,#680,"14,806"
Initial D Second Stage,TV,13,Finished Airing,"Oct 15, 1999 to Jan 21, 2000",Fall 1999,Fridays at 01:55 (JST),"['OB Planning', 'Fuji TV']","['Funimation', 'Tokyopop']",Pastel,Manga,"['Action', 'Drama']",23 min. per ep.,PG-13 - Teens 13 or older,8.17,#423,#1094,"1,090"
Initial D Fourth Stage,TV,24,Finished Airing,"Apr 17, 2004 to Feb 18, 2006",Spring 2004,Unknown,"['OB Planning', 'Studio Jack']",['Funimation'],A.C.G.T.,Manga,"['Action', 'Drama']",27 min. per ep.,PG-13 - Teens 13 or older,8.17,#427,#1271,"1,325"
Higurashi no Naku Koro ni Kai,TV,24,Finished Airing,"Jul 6, 2007 to Dec 18, 2007",Summer 2007,Fridays at 02:30 (JST),"['Geneon Universal Entertainment', 'Frontier Works', 'Sotsu', 'Movic']",['Sentai Filmworks'],Studio Deen,,"['Horror', 'Mystery', 'Supernatural', 'Suspense']",24 min. per ep.,R - 17+ (violence & profanity),8.17,#426,#471,"7,402"
Girls & Panzer: Saishuushou Part 3,Movie,1,Finished Airing,"Mar 26, 2021",,,"['Bandai Visual', 'Lantis', 'Movic', 'Q-Tec', 'Hakuhodo DY Music & Pictures']",['Sentai Filmworks'],Actas,,[],48 min.,PG-13 - Teens 13 or older,8.17,#425,#4210,113
Dr. Stone: Ryuusui,TV Special,1,Finished Airing,"Jul 10, 2022",,,"['TOHO animation', 'Shueisha']",['add some'],TMS Entertainment,Manga,"['Adventure', 'Comedy', 'Sci-Fi']",54 min.,PG-13 - Teens 13 or older,8.17,#423,#835,805
Digimon Adventure: Last Evolution Kizuna,Movie,1,Finished Airing,"Feb 21, 2020",,,['Toei Animation'],['add some'],Yumeta Company,,"['Action', 'Adventure', 'Comedy', 'Drama']",1 hr. 34 min.,PG-13 - Teens 13 or older,8.17,#417,#3323,317
Cardcaptor Sakura,TV,70,Finished Airing,"Apr 7, 1998 to Mar 21, 2000",Spring 1998,Tuesdays at 18:00 (JST),"['NHK', 'Kodansha', 'Sogo Vision']","['Nelvana', 'NIS America, Inc.', 'Geneon Entertainment USA']",Madhouse,Manga,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",25 min. per ep.,PG - Children,8.17,#421,#517,"13,543"
Aria the Natural,TV,26,Finished Airing,"Apr 3, 2006 to Sep 25, 2006",Spring 2006,Mondays at 01:00 (JST),"['Production I.G', 'TV Tokyo', 'Shochiku', 'Mag Garden']",['Nozomi Entertainment'],HAL Film Maker,Manga,"['Fantasy', 'Sci-Fi', 'Slice of Life']",24 min. per ep.,G - All Ages,8.17,#414,#2412,808
Yuukoku no Moriarty,TV,11,Finished Airing,"Oct 11, 2020 to Dec 20, 2020",Fall 2020,Sundays at 23:53 (JST),"['Mainichi Broadcasting System', 'Shueisha', 'Yomiuri TV Enterprise', 'Bandai Namco Arts', 'Bandai Spirits']",['Funimation'],Production I.G,Manga,"['Mystery', 'Suspense']",23 min. per ep.,R - 17+ (violence & profanity),8.17,#413,#531,"7,392"
Yoru wa Mijikashi Arukeyo Otome,Movie,1,Finished Airing,"Apr 7, 2017",,,"['Fuji TV', 'TOHO', 'BS Fuji', 'Kadokawa']",['GKIDS'],Science SARU,,"['Comedy', 'Romance']",1 hr. 32 min.,R+ - Mild Nudity,8.18,#412,#1755,"1,716"
Stand By Me Doraemon 2,Movie,1,Finished Airing,"Nov 20, 2020",,,"['Dentsu', 'TV Asahi', 'TOHO', 'Shueisha', 'Nagoya Broadcasting Network', 'Asahi Broadcasting', 'Shogakukan', 'Abe Shuuji Jimusho', 'Shizuoka Asahi Television']",['add some'],Shirogumi,Manga,"['Comedy', 'Sci-Fi']",1 hr. 35 min.,PG - Children,8.18,#410,#4460,127
Non Non Biyori Repeat,TV,12,Finished Airing,"Jul 7, 2015 to Sep 22, 2015",Summer 2015,Tuesdays at 02:05 (JST),"['TV Tokyo', 'Lantis']",['Sentai Filmworks'],SILVER LINK.,Manga,[],23 min. per ep.,PG-13 - Teens 13 or older,8.18,#412,#1199,"1,275"
Mo Dao Zu Shi Q,ONA,30,Finished Airing,"Jul 31, 2020 to Jan 29, 2021",,,['Tencent Penguin Pictures'],['add some'],B.CMAY PICTURES,,"['Comedy', 'Fantasy']",5 min. per ep.,PG-13 - Teens 13 or older,8.18,#406,#4475,236
Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,TV,13,Finished Airing,"Apr 29, 2019 to Aug 12, 2019",Spring 2019,Mondays at 00:35 (JST),['Sunrise Music'],['add some'],Sunrise,Manga,"['Action', 'Sci-Fi']",25 min. per ep.,PG-13 - Teens 13 or older,8.13,#465,#4567,114
Nisemonogatari,TV,11,Finished Airing,"Jan 8, 2012 to Mar 18, 2012",Winter 2012,Sundays at 00:00 (JST),"['Aniplex', 'Kodansha', 'Rakuonsha']",['Aniplex of America'],Shaft,Light novel,"['Comedy', 'Mystery', 'Supernatural', 'Ecchi']",25 min. per ep.,R - 17+ (violence & profanity),8.13,#467,#271,"3,896"
Princess Tutu,TV,38,Finished Airing,"Aug 16, 2002 to May 23, 2003",Summer 2002,Fridays at 20:30 (JST),"['Memory-Tech', 'GANSIS', 'Marvelous AQL']","['ADV Films', 'Sentai Filmworks']",HAL Film Maker,,"['Drama', 'Fantasy', 'Mystery', 'Romance']",16 min. per ep.,PG-13 - Teens 13 or older,8.13,#470,#1391,"5,024"
Buddy Daddies,TV,12,Finished Airing,"Jan 7, 2023 to Apr 1, 2023",Winter 2023,Saturdays at 00:00 (JST),"['Aniplex', 'Movic', 'Nitroplus', 'Tokyo MX', 'Nagoya Broadcasting Network', 'BS11', 'Bit grooove promotion']",['add some'],P.A. Works,,"['Action', 'Comedy']",24 min. per ep.,PG-13 - Teens 13 or older,8.13,#464,#888,"2,991"
Eizouken ni wa Te wo Dasu na!,TV,12,Finished Airing,"Jan 6, 2020 to Mar 23, 2020",Winter 2020,Mondays at 00:10 (JST),"['Warner Bros. Japan', 'Warner Music Japan', 'Shogakukan', 'NHK Enterprises']",['Sentai Filmworks'],Science SARU,Manga,"['Adventure', 'Award Winning', 'Comedy']",25 min. per ep.,PG-13 - Teens 13 or older,8.13,#458,#703,"4,204"
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,Special,1,Finished Airing,"Apr 3, 2015",,,['add some'],['add some'],Sunrise,Manga,"['Action', 'Comedy', 'Sci-Fi']",24 min.,PG-13 - Teens 13 or older,8.13,#469,#3482,72
JoJo no Kimyou na Bouken Part 6: Stone Ocean,ONA,12,Finished Airing,"Dec 1, 2021",,,['Warner Bros. Japan'],['VIZ Media'],David Production,Manga,"['Action', 'Adventure', 'Supernatural']",24 min. per ep.,R - 17+ (violence & profanity),8.12,#474,#440,"7,001"
Kidou Senshi Gundam 00,TV,25,Finished Airing,"Oct 6, 2007 to Mar 29, 2008",Fall 2007,Saturdays at 18:00 (JST),"['Sotsu', 'Asatsu DK', 'Mainichi Broadcasting System', 'Sony Music Entertainment']","['Nozomi Entertainment', 'Bandai Entertainment']",Sunrise,,"['Action', 'Drama', 'Sci-Fi']",24 min. per ep.,R - 17+ (violence & profanity),8.11,#479,#1104,"4,481"
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,TV Special,1,Finished Airing,"Aug 25, 2012",,,['Fuji TV'],['add some'],Toei Animation,Manga,"['Action', 'Adventure', 'Fantasy']",1 hr. 46 min.,PG-13 - Teens 13 or older,8.11,#484,#2604,83
Diamond no Ace,TV,75,Finished Airing,"Oct 6, 2013 to Mar 29, 2015",Fall 2013,Sundays at 08:30 (JST),"['TV Tokyo', 'Sotsu', 'Pony Canyon', 'Kodansha', 'AT-X', 'DAX Production']",['add some'],Production I.G,Manga,[],24 min. per ep.,PG-13 - Teens 13 or older,8.11,#486,#996,"4,643"
Fullmetal Alchemist,TV,51,Finished Airing,"Oct 4, 2003 to Oct 2, 2004",Fall 2003,Saturdays at 18:00 (JST),"['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System']","['Funimation', 'Aniplex of America']",Bones,Manga,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",24 min. per ep.,R - 17+ (violence & profanity),8.11,#487,#81,"26,013"
Tamayura: Sotsugyou Shashin Part 4 - Ashita,Movie,1,Finished Airing,"Apr 2, 2016",,,"['Shochiku', 'flying DOG']",['add some'],TYO Animations,,[],57 min.,G - All Ages,8.1,#508,#6019,81
Mahoutsukai no Yome: Hoshi Matsu Hito,OVA,3,Finished Airing,"Sep 10, 2016 to Sep 9, 2017",,,"['Production I.G', 'flying DOG']",['Crunchyroll'],Wit Studio,Manga,"['Drama', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,8.1,#504,#860,746
Shen Yin Wangzuo,ONA,26,Finished Airing,"Apr 28, 2022 to Sep 29, 2022",,,"['Tencent Penguin Pictures', 'Xuanshi Tangmen', 'Tianshi Wenhua', 'China South Angel']",['add some'],Shenman Entertainment,,"['Action', 'Adventure', 'Fantasy']",20 min. per ep.,PG-13 - Teens 13 or older,8.1,#506,#7474,120
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,OVA,13,Finished Airing,"Feb 23, 2011 to Jul 20, 2011",,,['Akita Shoten'],['Discotek Media'],TMS Entertainment,Manga,"['Action', 'Adventure', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,8.1,#505,#2479,324
Kuroshitsuji: Kishuku Gakkou-hen,TV,11,Currently Airing,"Apr 13, 2024 to ?",Spring 2024,Saturdays at 23:30 (JST),"['Aniplex', 'Square Enix', 'Magic Capsule', 'Crunchyroll']",['add some'],CloverWorks,Manga,"['Action', 'Fantasy', 'Mystery']",24 min. per ep.,R - 17+ (violence & profanity),8.1,#497,#2768,474
Kuroko no Basket: Saikou no Present desu,Special,1,Finished Airing,"Dec 24, 2015",,,"['Bandai Visual', 'Nihon Ad Systems']",['add some'],Production I.G,Manga,[],23 min.,PG-13 - Teens 13 or older,8.1,#502,#1984,210
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,TV Special,1,Finished Airing,"Sep 1, 2006",,,"['Bandai Visual', 'Dentsu', 'Victor Entertainment', 'Nippon Television Network']","['Bandai Entertainment', 'Manga Entertainment']",Production I.G,Manga,"['Action', 'Award Winning', 'Mystery', 'Sci-Fi']",1 hr. 48 min.,R - 17+ (violence & profanity),8.1,#501,#2077,250
Kono Subarashii Sekai ni Shukufuku wo!,TV,10,Finished Airing,"Jan 14, 2016 to Mar 17, 2016",Winter 2016,Thursdays at 01:05 (JST),"['Half H.P Studio', 'Nippon Columbia', 'KlockWorx', 'Sony Music Communications', 'Toranoana', '81 Produce', 'Kadokawa Media House', 'Kadokawa']","['Discotek Media', 'Crunchyroll']",Studio Deen,Light novel,"['Adventure', 'Comedy', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,8.1,#494,#40,"45,358"
