name,type,episodes,status,aired,premiered,broadcast,producers,licensors,studios,source,genres,duration,rating,score,ranked,popularity,favorites
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,TV,12,Finished Airing,"Apr 11, 2017 to Jun 27, 2017",Spring 2017,Tuesdays at 23:30 (JST),"['Lantis', 'AT-X', 'DAX Production', 'KlockWorx', 'Kadokawa Media House', 'Production Ace', 'Kadokawa']",['Funimation'],Satelight,Light novel,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,7.67,#1291,#573,"4,532"
Shin Kidou Senki Gundam Wing,TV,49,Finished Airing,"Apr 7, 1995 to Mar 29, 1996",Spring 1995,Fridays at 17:00 (JST),['TV Asahi'],"['Nozomi Entertainment', 'Bandai Entertainment']",Sunrise,,"['Action', 'Drama', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,7.67,#1290,#1464,"2,378"
Yao Shen Ji 6th Season,ONA,52,Finished Airing,"Jan 14, 2023 to Jul 8, 2023",,,"['bilibili', 'Tencent Penguin Pictures']",['add some'],Ruo Hong Culture,,"['Action', 'Adventure', 'Fantasy', 'Romance']",8 min. per ep.,PG-13 - Teens 13 or older,7.68,#1289,#11321,14
Uchuu Kaizoku Captain Herlock,TV,42,Finished Airing,"Mar 14, 1978 to Feb 13, 1979",Spring 1978,Tuesdays at Unknown,"['TV Asahi', 'Harmony Gold']",['Discotek Media'],Toei Animation,Manga,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",25 min. per ep.,PG-13 - Teens 13 or older,7.68,#1288,#3621,340
Seitokai Yakuindomo*,TV,13,Finished Airing,"Jan 4, 2014 to Mar 30, 2014",Winter 2014,Unknown,['Starchild Records'],['Sentai Filmworks'],GoHands,4-koma manga,[],23 min. per ep.,R - 17+ (violence & profanity),7.68,#1286,#952,591
Princess Sara,TV,46,Finished Airing,"Jan 6, 1985 to Dec 29, 1985",Winter 1985,Sundays at 19:30 (JST),['add some'],['add some'],Nippon Animation,,[],25 min. per ep.,G - All Ages,7.68,#1285,#4748,136
Princess Principal,TV,12,Finished Airing,"Jul 9, 2017 to Sep 24, 2017",Summer 2017,Sundays at 23:00 (JST),"['Bandai Visual', 'Lantis', 'Movic', 'Tokyo MX', 'Q-Tec', 'Hakuhodo DY Music & Pictures', 'Medicos Entertainment']",['Sentai Filmworks'],Actas,,"['Action', 'Mystery']",24 min. per ep.,R - 17+ (violence & profanity),7.68,#1284,#1157,"2,446"
Naruto: Shippuuden Movie 6 - Road to Ninja,Movie,1,Finished Airing,"Jul 28, 2012",,,"['TV Tokyo', 'Aniplex', 'Dentsu', 'TOHO', 'Shueisha']",['VIZ Media'],Pierrot,Manga,"['Action', 'Adventure', 'Fantasy']",1 hr. 49 min.,PG-13 - Teens 13 or older,7.68,#1282,#679,609
Little Busters! EX,Special,8,Finished Airing,"Jan 29, 2014 to Jul 30, 2014",,,['add some'],['Sentai Filmworks'],J.C.Staff,,"['Comedy', 'Drama', 'Romance', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,7.68,#1281,#2969,157
Kill la Kill Specials,Special,2,Finished Airing,"Sep 3, 2014",,,"['Aniplex', 'Kadokawa Shoten']",['Aniplex of America'],Trigger,,"['Action', 'Comedy', 'Fantasy', 'Ecchi']",18 min. per ep.,R - 17+ (violence & profanity),7.68,#1279,#1201,295
